D1,D2
134.0,0.554188
134.5,0.554
135.0,0.557125
135.5,0.557438
136.0,0.556438
136.5,0.5540630000000001
137.0,0.552875
137.5,0.5517500000000001
138.0,0.5525000000000001
138.5,0.555063
139.0,0.554813
139.5,0.553625
140.0,0.551813
140.5,0.549938
141.0,0.5508130000000001
141.5,0.554688
142.0,0.553938
142.5,0.552313
143.0,0.551
143.5,0.5503129999999999
144.0,0.549188
144.5,0.552875
145.0,0.553625
145.5,0.55125
146.0,0.55025
146.5,0.549813
147.0,0.545438
147.5,0.5490630000000001
148.0,0.551625
148.5,0.5508130000000001
149.0,0.5503129999999999
149.5,0.5486880000000001
150.0,0.546625
150.5,0.543875
151.0,0.5508130000000001
151.5,0.55025
152.0,0.550125
152.5,0.548938
153.0,0.5450630000000001
153.5,0.545313
154.0,0.547875
154.5,0.5485000000000001
155.0,0.548813
155.5,0.547188
156.0,0.5455
156.5,0.5415
157.0,0.543938
157.5,0.547313
158.0,0.547563
158.5,0.546625
159.0,0.5436880000000001
159.5,0.541813
160.0,0.543563
160.5,0.546625
161.0,0.5467500000000001
161.5,0.545563
162.0,0.545313
162.5,0.543938
163.0,0.541188
163.5,0.545563
164.0,0.546
164.5,0.545938
165.0,0.5441250000000001
165.5,0.543438
166.0,0.541375
166.5,0.543188
167.0,0.54625
167.5,0.5464380000000001
168.0,0.545813
168.5,0.542375
169.0,0.537813
169.5,0.539813
170.0,0.544563
170.5,0.544438
171.0,0.5443749999999999
171.5,0.5427500000000001
172.0,0.540938
172.5,0.5391250000000001
173.0,0.542938
173.5,0.5431250000000001
174.0,0.54325
174.5,0.541938
175.0,0.539625
175.5,0.537813
176.0,0.5401250000000001
176.5,0.542375
177.0,0.5435
177.5,0.541813
178.0,0.5396880000000001
178.5,0.5374380000000001
179.0,0.538875
179.5,0.541313
180.0,0.5420630000000001
180.5,0.541188
181.0,0.539438
181.5,0.536
182.0,0.536625
182.5,0.540625
183.0,0.541
183.5,0.5401250000000001
184.0,0.538688
184.5,0.538125
185.0,0.535313
185.5,0.537938
186.0,0.539875
186.5,0.539875
187.0,0.538938
187.5,0.538313
188.0,0.534375
