D1,D2
-0.10400000000000001,-0.339
-0.1,-0.21000000000000002
-0.096,-0.147
-0.092,-0.10300000000000001
-0.08800000000000001,-0.0713
-0.084,-0.0461
-0.08,-0.0244
-0.076,-0.00613
-0.07200000000000001,0.0102
-0.068,0.022400000000000003
-0.064,0.032400000000000005
-0.06,0.0418
-0.055999999999999994,0.0558
-0.052000000000000005,0.0667
-0.048,0.0755
-0.044000000000000004,0.08220000000000001
-0.04,0.0891
-0.036000000000000004,0.0966
-0.032,0.10200000000000001
-0.027999999999999997,0.10700000000000001
-0.024,0.11299999999999999
-0.02,0.118
-0.016,0.123
-0.012,0.127
-0.008,0.131
-0.004,0.135
0.0,0.13899999999999998
0.004,0.144
0.008,0.146
0.012,0.149
0.016,0.15200000000000002
0.02,0.15300000000000002
0.024,0.16100000000000003
0.027999999999999997,0.165
0.032,0.168
0.036000000000000004,0.171
0.04,0.17400000000000002
0.044000000000000004,0.17700000000000002
0.048,0.18100000000000002
0.052000000000000005,0.18300000000000002
0.055999999999999994,0.18700000000000003
0.06,0.19
0.064,0.194
0.068,0.196
0.07200000000000001,0.2
0.076,0.20400000000000001
0.08,0.21000000000000002
0.084,0.21600000000000003
0.08800000000000001,0.223
0.092,0.22999999999999998
0.096,0.238
0.1,0.24300000000000002
0.10400000000000001,0.24900000000000003
0.10800000000000001,0.252
0.11200000000000002,0.259
0.11599999999999999,0.264
0.12,0.271
0.124,0.277
0.128,0.28500000000000003
0.132,0.29300000000000004
0.136,0.303
0.13999999999999999,0.311
0.144,0.319
0.148,0.329
0.15200000000000002,0.337
0.15600000000000003,0.34600000000000003
0.16000000000000003,0.357
0.164,0.367
0.168,0.378
0.17200000000000001,0.39
0.17600000000000002,0.399
0.18000000000000002,0.41100000000000003
0.18400000000000002,0.42100000000000004
0.188,0.431
0.192,0.44100000000000006
0.196,0.451
0.2,0.45999999999999996
0.20400000000000001,0.4690000000000001
0.20800000000000002,0.47900000000000004
0.21200000000000002,0.485
0.21600000000000003,0.49500000000000005
0.22000000000000003,0.503
0.22400000000000003,0.509
0.22799999999999998,0.516
0.23199999999999998,0.523
0.236,0.528
0.24,0.535
0.244,0.54
0.248,0.546
0.252,0.551
0.256,0.5559999999999999
0.26,0.5599999999999999
0.264,0.5670000000000001
0.268,0.5710000000000001
0.272,0.5750000000000001
0.27599999999999997,0.581
0.27999999999999997,0.585
0.284,0.5900000000000001
0.288,0.5950000000000001
0.292,0.5990000000000001
0.296,0.6040000000000001
0.30000000000000004,0.6110000000000001
0.30400000000000005,0.6160000000000001
0.30800000000000005,0.6230000000000001
0.31200000000000006,0.63
0.31600000000000006,0.637
0.32000000000000006,0.6440000000000001
0.32400000000000007,0.653
0.328,0.662
0.332,0.672
0.336,0.681
0.34,0.6920000000000001
0.34400000000000003,0.7050000000000001
0.34800000000000003,0.7160000000000001
0.35200000000000004,0.7290000000000001
0.35600000000000004,0.743
0.36000000000000004,0.759
0.36400000000000005,0.776
0.36800000000000005,0.794
0.37200000000000005,0.8119999999999999
0.376,0.8330000000000001
0.38,0.8550000000000001
0.384,0.877
0.388,0.901
0.392,0.9289999999999999
0.396,0.9580000000000001
0.4,0.9880000000000001
0.404,1.02
0.40800000000000003,1.05
0.41200000000000003,1.09
0.41600000000000004,1.13
0.42000000000000004,1.17
0.42400000000000004,1.21
0.42800000000000005,1.26
0.43200000000000005,1.31
0.43600000000000005,1.36
0.44000000000000006,1.42
0.44400000000000006,1.48
0.44800000000000006,1.54
0.45199999999999996,1.6
0.45599999999999996,1.67
0.45999999999999996,1.75
0.46399999999999997,1.83
0.46799999999999997,1.91
0.472,2.0
0.476,2.09
0.48,2.18
0.484,2.28
0.488,2.39
0.492,2.49
0.496,2.61
0.5,2.72
0.504,2.84
0.508,2.95
0.512,3.07
0.516,3.2
0.52,3.32
0.524,3.44
0.528,3.55
0.532,3.67
0.536,3.77
0.54,3.87
0.544,3.97
0.548,4.05
0.5519999999999999,4.13
0.5559999999999999,4.19
0.5599999999999999,4.25
0.564,4.3
0.568,4.33
0.572,4.35
0.576,4.37
0.58,4.37
0.584,4.37
0.588,4.36
0.592,4.34
